num,term,definition,suggested_alternative
63,Grow the business,"Unless you’re a farmer, build the business.",
64,Guesstimate,Replace with rough estimate and reduce the odds of being taken for an idiot.,rough estimate and reduce the odds of being taken for an idiot
65,Guru,"If others describe you as a guru, people will be skeptical.",
66,Herding cats,This phase describes the attempt to manage a group of difficult and/or disagreeable,
67,Holistic,Comprehensive or complete is more straightforward.,
68,Human capital,"Ironically, few pieces of business jargon are as dehumanizing as human capital.",
69,Ideation,To ideate is to form ideas or concepts.,
70,Impact (as a verb),Grammatically correct options: have an impact on or have an effect on or simply affect.,
71,Incentivize,A mouthful of mush that means motivate.,
72,In light of the fact that,Replace this useless phrase with because.,
73,Innovative,Describing a product or service as innovative means nothing.,
74,Jump the shark,If a business or product is past its,
75,Key takeaways,A puffed up way of describing important points.,
76,Killer app,More overstatement.,
77,Knowledge transfer,We’ll teach you beats We’ll engage in knowledge transfer by six syllables and a country mile.,mile
78,Laser focus,"I guess when regular focus isn’t enough, companies must bring out the big guns",
79,Leaders,Everybody is a leader in this or a leader in that — so what?,
80,Learnings,"Ironically, this is not even a real word.",
81,Level playing field,Stop going over the same metaphorical ground and replace this phrase,
82,Leverage (as a verb),"Instead of, we leverage our volume to offer low prices, try, our volume",
83,Lipstick on a pig,"When you try to make something bad look good, you’re putting lipstick on a pig.","to make something bad look good, you’re putting lipstick on a pig"
84,Low-hanging fruit,This phrase drives people bananas.,
85,Luddite,A Luddite is someone who opposes technological innovation.,
86,Magic bullet,High caliber business writers replace this overused phrase with cure-all or panacea.,
87,Make hay while the sun shines,Maybe this is what a farmer does after putting lipstick on his pig.,
88,Maximize,"To sound like a real person, say that your product or service improves results rather than",
89,Methodology,"Scholars, scientists and extremely",
90,Mission-critical,What’s the difference between critical and mission-critical?,
91,Most unique,Something is either unique or it isn’t.,
92,Move the needle,This means to get meaningful or measurable results.,
93,My bad,"If you made a mistake, don’t trivialize it by saying it was my bad — this only makes people",
94,Next steps,This harmless-looking phrase escalates word count.,
95,Ninja,See guru.,
96,Offline,Replace discuss offline with discuss privately.,
97,One throat to choke,This means you are the only place your client needs to go for answers.,
98,On the same page,"In the old days, we were singing from the same sheet of music.",
99,Open the kimono,"If you’re sharing secrets or proprietary information, just share them and be done with it.",
100,Optimize,"This term is overused; whenever possible, replace with improve.",improve
101,Out of pocket,A tailor’s inventory may be out of pocket.,
102,Outside the box,"Ironically, using this tired phrase alerts people that you have no creativity",
103,Pain point,"Replace with problem, challenge, frustration, difficulty or headache.","problem, challenge, frustration, difficulty or headache"
104,Paradigm shift,"If you say significant change or fundamental change, people will actually understand what",
105,Pencil in,You penciled me in: that means,
106,Preplan,"When people say preplan, they usually mean early-stage planning.","preplan, they usually mean early-stage planning"
107,Preschedule,See preplan.,
108,Preso,I stopped using this word when I realized nobody knew I meant slide presentation.,
109,Price point,"For general business use, price is all you need.",
110,Proactive,When people are proactive they take the initiative.,
111,Push the envelope,"This could mean to act aggressively, assume risk, expand the",
112,Quite frankly,Use this phrase only when you want people to know you’re being otherwise deceptive,
113,Radio silent,"When you don’t hear from a customer or prospect for a good while, he’s gone radio silent.",
114,Raise the bar,"This means to set a higher standard, which sounds a whole lot better.",
115,Rationalization,This is a euphemism for getting fired.,
116,Reach out,"Customers don’t want you to reach out, as that phrasing is vague and nonchalant.",
117,Reinvent the wheel,"When people reinvent the wheel, they are laboriously recreating something essential",
118,Resonate,"When an idea resonates, it reaches people on an emotional level or in a way they can relate",
119,Roadmap,Vague.,
120,Robust,Robust functionality just doesn’t resonate.,
121,Rock star,See guru and ninja.,
122,Rocket science,See brain surgery.,
123,Seamless,See frictionless.,
124,Secret sauce,Your secret sauce is your competitive edge; something crucial you can do that your,
125,Sense of urgency,"When I hear this bit of corporate-speak, I think the seller is just going through the motions of",
126,Skin in the game,A gruesome phrase you’d expect to hear from Hannibal Lecter.,
127,Solutions,"For my money, the worst word in the world.",
128,Soup to nuts,"To avoid coming off like a buffoon, substitute comprehensive or complete.",
129,State of the art,This phrase used to be state of the art … but now lets customers know your product has,
130,Strategic plan,Few companies have the stamina and expertise to create a genuine strategic plan.,
131,Strike while the iron is hot,See make hay while the sun shines.,
132,Synergy,"When things synergize, they combine to have a greater impact than they can achieve on",
133,Table stakes,Table stakes are minimum requirements to engage in a particular business.,
134,Take strides,A way of saying we’re improving that implies you started from a poor position.,
135,Take to the next level,A way of saying we’re improving that implies you started from a strong,
136,Task (as a verb),Don’t task someone; give him or her an assignment.,
137,Thought leader,"See guru, ninja and rock star.",
138,Touch base,See reach out.,
139,Traction,"In general business usage, when something gains traction, it begins to take hold or gather",
140,Unpack,To unpack an idea is to examine it in detail.,
141,Utilize,Don’t utilize something; use it.,
142,Value-added,Saying your product or service has “value-added” components doesn’t tell anyone,
143,Valued partner,"Beware of valued partner followed by but: You’re a valued partner, but",
144,Viral,Few things in the world of marketing go viral.,
145,White Paper,Bad on two counts.,
146,Win-win,"Theoretically, it’s a game where both parties win; the opposite of a zero-sum game.",
147,With all due respect,Usually a prelude to an insult.,
148,World class,"A bold statement that should be used only to describe proven and widely accepted products,",
149,Wordsmith (as a verb),Don’t wordsmith the sales copy; edit it.,
150,Zero-sum game,A game where one party wins and the other loses; the opposite of a win-win.,
